Год,Выпуск,Первая страница,Всего страниц,Название,Рубрика,Авторы,Художники,Дополнительно,Броская фраза,входит в сэмпл?,теги,ответы,сложность
2020,11,32,2,Наш конкурс,Олимпиады,"11: Григорий Гальперин ;13: Александр Перепечко ; 14,15: Михаил Евдокимов",Николай Крутиков,,,да,,,
2020,11,34,1,Задача о гвоздях и нитках.,Задачи в картинках,"Георгий Караваев, ученик 11 класса",Елена Цветаева,,Геометрия на гвоздях и нитках,да,"комбигеом, планиметрия",,
2020,10,-1,1,Обложка,,,Алексей Вайнер,,,да,,,
2020,10,2,3,Транспортные детали: ответы.,Как это устроено,Борис Обморошев,Мария Усеинова,,"""Разбираем"" транспортные детали",,"физика, техника",,
2020,10,5,1,Монеты из Ольвии.,Преданья старины,Михаил Гельфанд,Артём и София Костюкевич,,Сколько золота в древнегреческой монете из электра?,да,арифметика,,
2020,10,6,1,Клеточная геометрия для всех.,Математические сюрпризы,Илья Сиротовский,Мария Усеинова,,Учимся геометрии по клеточкам,да,комбигеом,,
2020,10,7,5,"Прямое на кривом, или Прогулки по искривлённой поверхности. Окончание .",Оглянись вокруг,Валерия Сирота,Алексей Вайнер,,Как идти прямо на цилиндре и на конусе? (Окончание.),,диффгеом,,
2020,10,12,2,Пять сторон света.,Чудеса лингвистики,Ксения Гилярова,Мария Усеинова,,"Пять сторон света, или как не заблудиться в индонезийской деревне",да,,,
2020,10,14,2,"Римский-Корсаков и Врубель, Маяковский и Репин, Бородин и Мусоргский.",Две трети правды,Сергей Дориченко,Капыч,,"Месяц, портрет или гелий - в какой истории нелепость?",,,,
2020,10,16,2,Из жизни барона Мюнхгаузена,Четыре задачи,Материал подготовил: Михаил Евдокимов,Мария Усеинова,,Четыре задачи из жизни барона Мюнхгаузена,,"планиметрия, логика",,
2020,10,18,6,Мозаика Робинсона.,Математические сюрпризы,Хайдар Нурлигареев,Алексей Вайнер,,Паркеты Робинсона: есть только непериодическая укладка!,,комбигеом,,
2020,10,24,2,Пузырьки.,Опыты и эксперименты,Александр Бердников,Евгений Паненко,,Четыре задачи о воздушных пузырьках,да,физика,,
2020,10,26,2,"Конкурс по русскому языку, IV тур",Олимпиады,16: И.Б.Иткин ; 17 : Л.З.Иткина ; 18 : О.А.Кузнецова ; 19 : К.В.Литвинцева; 20 : С.И.Переверзева,Николай Крутиков,,Новый тур конкурса по русскому языку,,,,
2020,10,28,4,"Ответы, указания, решения",Ответы,,,,,,,,
2020,10,32,2,Наш конкурс,Олимпиады,6:  Сергей Костин ; 7: Григорий Гальперин ;8: Данила Иванов ;9: Михаил Евдокимов,Николай Крутиков,,,да,,,
2020,10,34,1,Игра в ростки,Задачи в картинках,Автор задачи: Джон Конвей,Елена Цветаева,,Играем в ростки Джона Конвея,да,"игры, логика",,
2020,9,-1,1,Обложка,,,Алексей Вайнер,,,да,,,
2020,9,2,3,Гийом Лежантиль,Преданья старины,Анастасия Челпанова,Мария Усеинова,,Гийом Лежантиль: десятилетняя погоня за затмением,да,астрономия,,
2020,9,5,6,"Прямое на кривом, или Прогулки по искривлённой поверхности. Продолжение",Оглянись вокруг,Валерия Сирота,Алексей Вайнер,,Как идти прямо на цилиндре и на конусе? Продолжение.,,диффгеом,,
2020,9,11,1,Тени на пупырчатой стене,Задачи в картинках,Александр Бердников,Елена Цветаева,,Когда пупырышки контрастнее в зеркале?,,физика,,
2020,9,12,4,Как Бусенька проверяла делимость на семь,Математические сказки,Константин Кохась,Инга Коржнева,,Как Бусенька во сне на семь делила,,арифметика,,
2020,9,16,2,Транспортные детали,Четыре задачи,Борис Обморошев,Мария Усеинова,,Неочевидные транспортные детали,да,"физика, техника",,
2020,9,18,5,Таблетка от забывчивости,Математический кружок,Александр Перепечко,Мария Усеинова,,Не забудет ли Саша принимать таблетки от забывчивости?,,вероятности,,
